WORDS11,
buttress,"(n.,v.) structure that provides strength and support"
spectrum,a broad range of values
fatuous,"silly and pointless, stupid, lacking intelligence"
strut,(n.) a strong rod or bar of metal/wood that holds a vehicle or building together (framework)
dupe,(n.) someone who is easily fooled (v.) to trick or deceive
garrulous,"overly talkative, mosty about unimportant things"
banal,"obvious and boring, lacking originality"
gouge,overcharge or deceive
disparate,not allowing comparison
apathy,lack of concern and interest
gullible,easily convinced or fooled
eclectic,derived from various sources and styles
