Antiquated,outdated; old fashioned
Apathetic,indifferent; uninterested; lethargic
Apathy,lack of interest or emotion
Apocryphal,of doubtful origin
Appease,pacify; soothe; calm down; make peace with
Apprehensive,worried; fearful
Arable,can be cultivated
Arbitrary,random; for no definite reason
Arcane,obscure; known only to a few people
Archaic,ancient; outdated; old fashioned
Choleric,easily angered
Chronicler,person who records historical information
Circuitous,indirect
Circumlocution,using too many words; long-windedness
Circumscribe,limit
Circumspect,cautious; considering all sides
Circumvent,avoid
Clairvoyant,psychic; mystic
Clamor,shout; scream
Clandestine,secret; covert; stealthy
Diorama,model of a scene
Dirge,mournful song
Disapprobation,disapproval
Discern,to distinguish one thing from another
Discord,disagreement
Discordancy,cacophony; harshness; jarring
Discrepancy,something which does not match up; inconsistency
Discriminate,to make a clear distinction; see the difference
Discursiveness,long windedness; indirectness
Disdain,contempt; strong dislike
Fecund,fertile
Felicitous,apt
Fervor,passion; enthusiasm
Fickle,unpredictable; whimsical; easily swayed
Finesse,skill
Fitful,not continuous; stopping and starting
Flagrant,clearly wrong
Flamboyant,showy; ornate
Flaunt,show off; display in a showy manner
Flippant,making jokes about serious matters
Inebriation,drunkenness; intoxication
Ineffable,cannot be expressed in words
Inept,incompetent; unskilled; useless
Inertia,inactivity; lethargy
Inevitable,cannot be avoided
Inexorable,relentless
Inexpedient,not advisable
Infallible,perfect; flawless; cannot make mistakes
Infamous,famous for something bad
Infer,deduce; conclude
Marshal,to gather together
Marsupial,pouched mammal (like a kangaroo)
Martinet,person who believes in strict discipline
Masochist,person who intentionally inflicts pain on himself
Matriarchy,society governed by women
Maverick,a loner
Meager,in short supply
Meander,wander from side to side
Mellow,soft; melodious; ripe
Menagerie,collection of animals
Parity,equality
Parochial,narrow-minded; concerned only with local matters
Parody,a mockery; imitation for ridicule; spoof
Parry,ward off; avoid
Parsimonious,economical; frugal; thrifty
Parsimony,stinginess; frugality; cost-cutting
Partisan,biased; one-sided; committed to one group
Pathos,evoking sadness or pity
Patron,one who give support (usually financial)
Patronize,condescend to; behave in an arrogant manner towards
Profound,having deep meaning
Profundity,depth
Proletarian,member of the working class
Prolific,producing a lot
Proponents,promoters; supporters
Prosaic,dull; boring; ordinary
Proscribe,forbid
Prosody,study of versification
Prostration,1. lying face down; 2. be overcome with extreme weakness
Protagonist,"main character in film, book, play etc."
Servile,overly submissive; groveling
Skeptical,doubting; not gullible
Skirmish,minor battle
Sluggard,slow-moving; lethargic person
Smelt,refine an ore
Smorgasbord,a Swedish buffet of cold dishes
Solace,comfort for grief
Solicit,to ask for; seek
Somnambulist,sleepwalker
Soothsayer,fortuneteller
Usurp,take someone's position (usually by force)
Utilitarian,useful
Utopian,a believer in an ideal world
Vacillate,waver; hesitate
Vacuous,empty; silly; meaningless
Vagrant,person wandering without a home
Vapid,dull; uninspiring
Variegated,multicolored; speckled
Vehemence,violence; fervor; forcefulness
Vehement,forceful
